回報者名稱,時間,怪物 ID,怪物名稱,基本數值異動,移除掉落物,新增掉落物,移除地圖,新增地圖,地圖座標,是否修正,處理狀態
,2026/1/21 下午 2:35:23,1044,人魚,,永恆玫瑰(748),,,,,TRUE,成功於 2026-01-27 10:06 處理
,2026/1/21 下午 2:35:37,1118,噬人花,,永恆玫瑰(748),,,,,TRUE,成功於 2026-01-27 10:06 處理
,2026/1/21 下午 5:40:37,1207,史汀,,,鋼鐵鎧甲(450315),,,,TRUE,成功於 2026-01-27 10:06 處理
兩天,2026/1/22 上午 11:03:40,2871,憤怒古鐘魔,"經驗值: ??? -> 328,410
職業經驗值: ??? -> 65,670",,,,,,TRUE,成功於 2026-01-22 11:59 處理
,2026/1/23 上午 6:09:52,1132,卡利斯格,,,尖刃鐵錘(590070),,,,TRUE,成功於 2026-01-27 10:01 處理
昔時閒文,2026/1/23 下午 2:57:26,1322,彈簧兔,,黃色藥草(508),,,,,TRUE,成功於 2026-01-27 10:06 處理
,2026/1/26 下午 8:22:52,1319,水靈龜,,,秘衣 惡德(2319),,,,TRUE,成功於 2026-01-27 10:02 處理
兩天,2026/1/27 下午 4:12:39,1154,帕莎納,"經驗值: ??? -> 80,181",,,,,,TRUE,成功於 2026-01-27 16:41 處理
PENG,2026/1/28 上午 9:23:24,1505,銀月魔女,,(服飾)銀月魔女之新月(歸屬)(480712),,,,,TRUE,成功於 2026-01-28 12:58 處理
兩天,2026/1/28 下午 11:49:48,1163,幽靈劍士,"經驗值: ??? -> 17,340",,,,,,TRUE,成功於 2026-01-30 10:51 處理
兩天,2026/1/28 下午 11:50:21,1132,卡利斯格,"經驗值: ??? -> 19,992",,,,,,TRUE,成功於 2026-01-30 10:51 處理
兩天,2026/1/28 下午 11:51:18,1219,深淵騎士,"經驗值: ??? -> 80,520",,,,,,TRUE,成功於 2026-01-30 10:51 處理
兩天,2026/1/28 下午 11:52:27,1195,飛行魔書,"經驗值: ??? -> 6,337",,,,,,TRUE,成功於 2026-01-30 10:51 處理
兩天,2026/1/28 下午 11:53:04,1276,幽靈弓箭手,"經驗值: ??? -> 11,829",,,,,,TRUE,成功於 2026-01-30 10:51 處理
兩天,2026/1/28 下午 11:57:13,2691,雄壯幽靈劍士,"經驗值: ??? -> 260,100",,,,,,TRUE,成功於 2026-01-30 10:51 處理
青楓,2026/1/30 上午 9:48:11,1243,雪熊,"經驗值: 47,971 -> 47,970",,,,,,TRUE,成功於 2026-01-30 10:51 處理
青楓,2026/1/30 上午 9:48:54,1242,冰波利,"經驗值: 1,226 -> 1,113",,,,,,TRUE,成功於 2026-01-30 10:51 處理
青楓,2026/1/30 上午 9:49:28,1515,卡崙寶寶,"經驗值: 55,490 -> 56,490",,,,,,TRUE,成功於 2026-01-30 10:51 處理
兩天,2026/1/30 上午 10:02:34,1276,幽靈弓箭手,,,賀勒拳套(560053),,,,TRUE,成功於 2026-01-30 12:45 處理
兩天,2026/1/30 下午 6:21:59,1322,彈簧兔,"經驗值: ??? -> 78,500
職業經驗值: ??? -> 15,700",,,,,,TRUE,成功於 2026-02-02 10:55 處理
兩天,2026/1/30 下午 6:22:48,1321,刺尾蜻蜓,"經驗值: ??? -> 67,299
職業經驗值: ??? -> 13,459",,,,,,TRUE,成功於 2026-02-02 10:55 處理
兩天,2026/1/30 下午 6:27:31,2848,迅捷刺尾蜻蜓,"經驗值: ??? -> 1,059,959
職業經驗值: ??? -> 211,979",,,,,,TRUE,成功於 2026-02-02 10:55 處理
,2026/1/31 上午 5:38:35,1280,噴射哥布靈,,,鏈錘(590071),,,,TRUE,成功於 2026-02-02 10:55 處理
,2026/1/31 下午 10:31:55,1373,死靈騎士,"血量: 2,838,250 -> 112,838,250",,,,,,TRUE,成功於 2026-02-02 10:55 處理
,2026/2/2 下午 1:41:48,25239,憤怒雪熊,,(服飾)北極熊帽(歸屬)(401036),,,,,TRUE,成功於 2026-02-04 10:47 處理
青楓,2026/2/2 下午 9:21:12,2890,憤怒艾斯蜘蛛,"經驗值: 37,290 -> 39,300",,,,,,TRUE,成功於 2026-02-04 10:47 處理
,2026/2/2 下午 11:44:35,1508,萬聖魔,,,萬聖魔面具(5475),,,,TRUE,成功於 2026-02-04 10:47 處理
Rogan,2026/2/4 上午 10:16:10,1206,虎蜥人,,,(服飾)隊伍招聘!廣告牌(歸屬)(401084),,,,TRUE,成功於 2026-02-04 10:47 處理
,2026/2/5 上午 12:02:50,1145,土撥鼠,"經驗值: ??? -> 8,636
職業經驗值: ??? -> 102",,,,,,TRUE,成功於 2026-02-06 10:29 處理
,2026/2/5 上午 12:04:19,2760,雄壯土撥鼠,"經驗值: ??? -> 129,546
職業經驗值: ??? -> 23,744",,,,,,TRUE,成功於 2026-02-06 10:29 處理
,2026/2/5 上午 10:22:47,1206,虎蜥人,,水靈箭矢(1754),戰鬥虎蜥人娃娃(1002653),,,,TRUE,成功於 2026-02-06 10:29 處理
,2026/2/6 上午 9:40:09,1319,水靈龜,,,(服飾)趴趴果樹龜(歸屬)(401190),,,,TRUE,成功於 2026-02-06 10:29 處理
,2026/2/6 上午 10:25:25,20175,超異小丑,,,"超異小丑卡片(27270), 華麗演出拳套(1856)",,,,TRUE,成功於 2026-02-06 10:29 處理
,2026/2/6 上午 10:25:39,20176,伊莉莎白,,,伊莉莎白卡片(27271),,,,TRUE,成功於 2026-02-06 10:29 處理
,2026/2/6 上午 10:25:49,20177,珍妮佛,,,珍妮佛卡片(27272),,,,TRUE,成功於 2026-02-06 10:29 處理
,2026/2/6 上午 10:26:05,20179,吉克勞斯甲蟲,,,吉克勞斯甲蟲卡片(27274),,,,TRUE,成功於 2026-02-06 10:29 處理
,2026/2/6 上午 10:26:20,20178,獸人將軍,,,"獸人將軍卡片(27273), 獸人將軍徽章(25508)",,,,TRUE,成功於 2026-02-06 10:29 處理
awei,2026/2/7 上午 4:59:58,20177,珍妮佛,,,,鐘塔地下4樓(alde_dun04),鐘塔地下3樓(alde_dun03),,TRUE,成功於 2026-02-10 09:31 處理
awei,2026/2/7 上午 5:08:32,20176,伊莉莎白,,,可愛的掃把(25506),,,,TRUE,成功於 2026-02-07 18:59 處理
awei,2026/2/7 上午 5:08:50,20175,超異小丑,,,王牌外卡(25505),,,,TRUE,成功於 2026-02-07 19:31 處理
awei,2026/2/7 上午 5:09:08,20177,珍妮佛,,,絢麗的珊瑚(25507),,,,TRUE,成功於 2026-02-07 19:31 處理
awei,2026/2/7 上午 5:14:39,20179,吉克勞斯甲蟲,,,亮晶晶圓殼(25509),,,,TRUE,成功於 2026-02-07 19:31 處理
,2026/2/7 下午 6:42:49,1144,烏賊,"經驗值: ??? -> 892
職業經驗值: ??? -> 162",,,,,,TRUE,成功於 2026-02-07 19:31 處理
,2026/2/7 下午 6:43:03,1067,卡那多斯,"經驗值: ??? -> 883
職業經驗值: ??? -> 161",,,,,,TRUE,成功於 2026-02-07 19:31 處理
,2026/2/7 下午 6:44:02,1044,人魚,"經驗值: ??? -> 1,277
職業經驗值: ??? -> 234",,,,,,TRUE,成功於 2026-02-07 19:31 處理
,2026/2/7 下午 6:47:04,2864,雄壯卡那多斯,"經驗值: ??? -> 13,265
職業經驗值: ??? -> 2,425",,,,,,TRUE,成功於 2026-02-07 19:31 處理
,2026/2/8 上午 12:43:07,2628,雄壯螃蟹,"經驗值: ??? -> 784
職業經驗值: ??? -> 143",,,,,,TRUE,成功於 2026-02-10 11:27 處理
,2026/2/8 上午 12:43:41,1068,海葵,"經驗值: 880 -> 807
職業經驗值: 232 -> 147",,,,,,TRUE,成功於 2026-02-10 11:27 處理
,2026/2/8 上午 12:44:17,1070,庫克雷,"經驗值: ??? -> 691
職業經驗值: ??? -> 126",,,,,,TRUE,成功於 2026-02-10 11:27 處理
,2026/2/8 上午 12:45:36,1141,水母,"經驗值: ??? -> 726
職業經驗值: ??? -> 133",,,,,,TRUE,成功於 2026-02-10 11:27 處理
,2026/2/8 上午 4:06:46,1127,蚯蚓,"經驗值: 6,496 -> 7,413",,,,,,TRUE,成功於 2026-02-10 11:27 處理
,2026/2/8 上午 4:09:02,1165,泥人,"經驗值: 6,078 -> 7,159
職業經驗值: 1,695 -> 1,431",,,,,,TRUE,成功於 2026-02-10 11:27 處理
,2026/2/8 上午 4:09:42,1127,蚯蚓,"職業經驗值: 1,820 -> 1,482",,,,,,TRUE,成功於 2026-02-10 11:27 處理
,2026/2/8 上午 8:54:10,2802,憤怒蚯蚓,"經驗值: 97,440 -> 166,792
職業經驗值: 27,300 -> 33,345",,,,,,TRUE,成功於 2026-02-10 11:27 處理
,2026/2/8 下午 5:37:54,2802,憤怒蚯蚓,"經驗值: 97,440 -> 11,195
職業經驗值: 27,300 -> 22,230",,,,,,TRUE,成功於 2026-02-10 11:27 處理
兩天,2026/2/10 上午 12:43:23,1219,深淵騎士,,,騎士長矛(630036),,,,TRUE,成功於 2026-02-10 11:27 處理
,2026/2/11 下午 10:34:44,1109,小惡魔,100%命中: 343 -> 392,,,,,,TRUE,成功於 2026-02-11 23:45 處理
墨爸,2026/2/12 下午 12:25:14,1163,幽靈劍士,,,王室騎士巨劍(21039),,,,TRUE,成功於 2026-02-12 13:14 處理
,2026/2/12 下午 1:11:38,25255,馬型年獸,,,"樂園紅包(1002736), RO新年鞭炮(103941)",,,,TRUE,成功於 2026-02-12 13:14 處理
,2026/2/12 下午 1:11:54,25253,年獸,,,"樂園紅包(1002736), RO新年鞭炮(103941)",,,,TRUE,成功於 2026-02-12 13:14 處理
,2026/2/12 下午 2:58:04,1109,小惡魔,100%命中: 392 -> 393,,,,,,TRUE,成功於 2026-02-12 16:25 處理
,2026/2/12 下午 2:58:22,2854,雄壯小惡魔,100%命中: 343 -> 393,,,,,,TRUE,成功於 2026-02-12 16:25 處理
,2026/2/13 上午 9:55:35,1506,假面鬼,,(服飾)假面鬼披肩(歸屬)(420724),,,,,TRUE,成功於 2026-02-13 11:17 處理
,2026/2/13 上午 11:15:02,1319,水靈龜,,,浸溼的冰雕玫瑰(1002722),,,,TRUE,成功於 2026-02-16 14:36 處理
,2026/2/13 上午 11:15:56,1504,無顱武士,,,浸溼的高周波刀(1002724),,,,TRUE,成功於 2026-02-16 14:36 處理
,2026/2/13 上午 11:16:41,1314,果樹龜,,,浸溼的龜殼(1002721),,,,TRUE,成功於 2026-02-16 14:36 處理
,2026/2/13 上午 11:17:16,1213,獸人戰士長,,,浸溼的犬齒(1002720),,,,TRUE,成功於 2026-02-16 14:36 處理
,2026/2/16 下午 9:55:14,1310,狂暴米洛斯,,,昇龍拳套(560078),,,,TRUE,成功於 2026-02-18 17:04 處理
應該這樣才接近,2026/2/18 下午 2:44:56,1380,爆鑽傘蜥,100%命中: 335 -> 363,,,,,,TRUE,成功於 2026-02-18 17:04 處理
,2026/2/19 上午 12:59:29,1263,風魔巫師,,,鋼斧(620049),,,,TRUE,成功於 2026-02-21 21:07 處理
賢仔,2026/2/19 下午 2:23:08,1242,冰波利,,,橡木魔杖(550138),,,,TRUE,成功於 2026-02-21 21:07 處理
,2026/2/21 下午 4:34:00,1268,血腥騎士,"血量: 68,500 -> 848,500",,,,,,TRUE,成功於 2026-02-21 21:07 處理
,2026/2/21 下午 8:00:43,2889,菁英風靈龜,"血量: 44,885 -> 448,850",,,,,,TRUE,成功於 2026-02-21 21:07 處理
,2026/2/22 下午 6:17:13,1494,巨象甲蟲,"物理防禦: 79 -> 94
魔法防禦: 8 -> 9",,,,,,TRUE,成功於 2026-02-23 15:35 處理
,2026/2/22 下午 6:18:12,1166,野豬,物理防禦: 126 -> 151,,,,,,TRUE,成功於 2026-02-23 15:35 處理
PENG,2026/2/26 上午 4:47:43,1506,假面鬼,,,(服飾)假面鬼披肩(歸屬)(420724),,,,TRUE,成功於 2026-02-26 05:58 處理
,2026/3/4 下午 7:13:11,1208,邪骸浪人,,,(服飾)藏鏡人帽(歸屬)(430018),,,,TRUE,成功於 2026-03-04 22:28 處理
,2026/3/7 下午 4:39:26,1041,木乃伊,,書(540106),,,,,TRUE,成功於 2026-03-09 10:45 處理
,2026/3/8 下午 10:56:44,1128,鍬形蟲,職業經驗值: 248 -> 130,,,,,,TRUE,成功於 2026-03-09 10:45 處理
兩天,2026/3/9 上午 10:43:26,2774,迅捷銀月魔女,"經驗值: 308,520 -> 1,621,979",,,,,,TRUE,成功於 2026-03-09 17:29 處理
兩天,2026/3/9 上午 10:44:29,2774,迅捷銀月魔女,"經驗值: 308,520 -> 1,621,980",,,,,,TRUE,成功於 2026-03-09 17:29 處理
楓星~*,2026/3/9 下午 1:39:05,1094,蝸牛,,,弓(700099),,,,TRUE,成功於 2026-03-09 17:29 處理
兩天,2026/3/9 下午 4:54:50,1200,艾斯恩魔女,,,艾斯恩魔女假面(5121),,,,TRUE,成功於 2026-03-09 17:29 處理
,2026/3/11 下午 6:55:39,1409,元宵童子,"經驗值: ??? -> 93,233",,,,,,TRUE,成功於 2026-03-12 09:05 處理
,2026/3/11 下午 6:56:42,1415,小花豹,"經驗值: ??? -> 108,633",,,,,,TRUE,成功於 2026-03-12 09:05 處理
肯,2026/3/11 下午 9:01:52,1416,妖仙女,,,修理過的太極盤(1000024),,,,TRUE,成功於 2026-03-12 09:05 處理
rose,2026/3/12 上午 3:21:49,1416,妖仙女,"經驗值: ??? -> 163,687",,,,,,TRUE,成功於 2026-03-12 09:05 處理
,2026/3/12 上午 9:08:17,2617,狡猾妖仙女,"血量: 42,455 -> 2,728,143",,,,,,TRUE,成功於 2026-03-12 10:50 處理
,2026/3/12 上午 9:08:39,2883,迅捷血蝴蝶,"血量: 35,150 -> 2,249,731",,,,,,TRUE,成功於 2026-03-12 10:50 處理
,2026/3/12 上午 9:08:57,2775,雄壯猴桃木,"血量: 87,770 -> 2,085,072",,,,,,TRUE,成功於 2026-03-12 10:50 處理
,2026/3/12 上午 9:09:19,2683,菁英元宵童子,"血量: 10,490 -> 1,709,279",,,,,,TRUE,成功於 2026-03-12 10:50 處理
兩天,2026/3/12 下午 6:15:59,1416,妖仙女,"經驗值: 163,687 -> 148,807",,,,,,TRUE,成功於 2026-03-13 08:54 處理
,2026/3/12 下午 9:33:06,1268,血腥騎士,,血腥騎士卡片(27275),鋼鐵鎧甲(450315),,,,TRUE,成功於 2026-03-13 08:54 處理
兩天,2026/3/12 下午 9:59:04,1410,猴桃木,,,老舊的太極盤(1000023),,,,TRUE,成功於 2026-03-13 08:54 處理
兩天,2026/3/12 下午 10:00:33,1408,血蝴蝶,"經驗值: ??? -> 122,712",,,,,,TRUE,成功於 2026-03-13 08:54 處理
兩天,2026/3/12 下午 10:02:25,1410,猴桃木,"經驗值: ??? -> 113,731",,,,,,TRUE,成功於 2026-03-13 08:54 處理
兩天,2026/3/14 下午 12:11:09,1023,獸人戰士,職業經驗值: 362 -> 391,,,,,,TRUE,成功於 2026-03-14 13:00 處理
兩天,2026/3/14 下午 7:43:23,1413,人蔘精,"經驗值: ??? -> 111,946",,,,,,TRUE,成功於 2026-03-15 00:47 處理
兩天,2026/3/14 下午 7:43:42,1416,妖仙女,"經驗值: 163,687 -> 148,807",,,,,,TRUE,成功於 2026-03-15 00:47 處理
兩天,2026/3/14 下午 7:48:01,1412,惡雲仙人,"經驗值: ??? -> 134,533",,,,,,TRUE,成功於 2026-03-15 00:47 處理
兩天,2026/3/14 下午 7:50:44,1416,妖仙女,,,道士劍(600002),,,,TRUE,成功於 2026-03-15 00:47 處理
兩天,2026/3/14 下午 8:00:20,2617,狡猾妖仙女,"經驗值: ??? -> 2,232,105",,,,,,TRUE,成功於 2026-03-15 00:47 處理
,2026/3/14 下午 10:48:32,1408,血蝴蝶,,,(服飾)黃鳳蝶翅膀(歸屬)(410598),,,,TRUE,成功於 2026-03-15 00:47 處理
PENG,2026/3/15 上午 10:38:59,1409,元宵童子,,,(服飾)紅色風車髮簪(歸屬)(401287),,,,TRUE,成功於 2026-03-15 14:14 處理
兩天,2026/3/15 下午 11:37:14,1145,土撥鼠,職業經驗值: 102 -> 93,,,,,,TRUE,成功於 2026-03-16 12:11 處理
兩天,2026/3/15 下午 11:38:15,1145,土撥鼠,職業經驗值: 102 -> 92,,,,,,TRUE,成功於 2026-03-16 12:11 處理
兩天,2026/3/15 下午 11:38:35,1156,畢帝特飛龍,"經驗值: 8,078 -> 9,072
職業經驗值: 2,441 -> 1,814",,,,,,TRUE,成功於 2026-03-16 12:11 處理
兩天,2026/3/15 下午 11:42:44,1499,伍坦戰士,"經驗值: 7,214 -> 7,192
職業經驗值: 2,139 -> 1,438",,,,,,TRUE,成功於 2026-03-16 12:11 處理
兩天,2026/3/15 下午 11:43:14,1495,石炮火樹,"經驗值: 6,474 -> 5,955
職業經驗值: 1,907 -> 1,191",,,,,,TRUE,成功於 2026-03-16 12:11 處理
兩天,2026/3/15 下午 11:45:50,1261,狂暴野貓,"經驗值: 8,008 -> 7,665
職業經驗值: 2,387 -> 1,533",,,,,,TRUE,成功於 2026-03-16 12:11 處理
兩天,2026/3/15 下午 11:57:45,1246,甜餅人,"職業經驗值: 3,676 -> 3,947",,,,,,TRUE,成功於 2026-03-16 12:11 處理
兩天,2026/3/15 下午 11:59:55,1265,綠餅人,"職業經驗值: 3,487 -> 3,774",,,,,,TRUE,成功於 2026-03-16 12:11 處理
PENG,2026/3/17 上午 7:10:33,1416,妖仙女,,,(服飾)妖仙女髮簪(歸屬)(401285),,,,TRUE,成功於 2026-03-17 08:57 處理
,2026/3/18 上午 12:55:14,2877,狡猾卡拉特小丑,,,雙手斧(620048),,,,TRUE,成功於 2026-03-18 12:49 處理
兩天,2026/3/21 下午 3:13:52,1389,德古拉男爵,,,德古拉男爵卡片(27268),,,,TRUE,成功於 2026-03-23 11:23 處理
,2026/3/23 上午 2:36:49,1323,海獺,"經驗值: 2,592 -> 3,025",,,,,,TRUE,成功於 2026-03-23 11:23 處理
,2026/3/23 上午 2:41:33,1073,卡拉蟹,"經驗值: 2,056 -> 1,844",,,,,,TRUE,成功於 2026-03-23 11:23 處理
,2026/3/23 上午 2:44:07,1266,海星,"經驗值: 2,994 -> 2,579",,,,,,TRUE,成功於 2026-03-23 11:23 處理
,2026/3/23 上午 2:44:38,2668,菁英海獺,"經驗值: 38,880 -> 45,361",,,,,,TRUE,成功於 2026-03-23 11:23 處理
,2026/3/23 上午 2:44:48,1391,啤酒企鵝,"經驗值: 2,390 -> 1,909",,,,,,TRUE,成功於 2026-03-23 11:23 處理
,2026/3/23 上午 2:45:33,1074,貝殼魔靈,"經驗值: 2,858 -> 2,864",,,,,,TRUE,成功於 2026-03-23 11:23 處理
兩天,2026/3/25 下午 12:55:20,1262,半龍人,"經驗值: 940,048 -> 498,337",,,,,,TRUE,成功於 2026-03-25 13:16 處理
,2026/3/26 下午 9:10:08,2660,狡猾邪骸礦工,"經驗值: ??? -> 910,000
職業經驗值: ??? -> 18,000",,,,,,FALSE,
,2026/3/26 下午 9:11:09,2660,狡猾邪骸礦工,"經驗值: ??? -> 910,000
職業經驗值: ??? -> 180,000",,,,,,TRUE,成功於 2026-03-27 11:28 處理
,2026/3/26 下午 9:12:01,1169,邪骸礦工,"職業經驗值: ??? -> 12,000",,,,,,TRUE,成功於 2026-03-27 11:28 處理
,2026/3/28 下午 3:47:48,1268,血腥騎士,,,血腥騎士卡片(27275),,,,TRUE,成功於 2026-03-30 15:53 處理
,2026/3/30 下午 1:59:32,1315,風靈龜,,拳刃(610066),卡塔勒拳刃(610082),,,,TRUE,成功於 2026-03-30 15:53 處理
,2026/3/31 下午 7:06:17,1268,血腥騎士,,血腥騎士卡片(27275),,,,,TRUE,成功於 2026-03-31 22:17 處理
,2026/4/1 下午 7:09:25,2687,雄壯諾可伊,"經驗值: ??? -> 1,279,345
職業經驗值: ??? -> 255,866",,,,,,TRUE,成功於 2026-04-04 11:39 處理
,2026/4/3 下午 8:15:30,1150,月夜貓,"經驗值: 4,354,732 -> 67,000,000",,,,,,TRUE,成功於 2026-04-04 11:39 處理
,2026/4/3 下午 8:15:45,1038,俄塞里斯,"血量: 39,978,560 -> 75,000,000",,,,,,TRUE,成功於 2026-04-04 11:39 處理
,2026/4/3 下午 8:15:54,1087,獸人英雄,"經驗值: 5,773,680 -> 68,000,000",,,,,,TRUE,成功於 2026-04-04 11:39 處理
,2026/4/4 下午 11:08:45,20371,越獄腐屍,,,腳鍊(2408),,,,TRUE,成功於 2026-04-07 02:03 處理
,2026/4/4 下午 11:08:50,20371,越獄腐屍,,,腳鍊(2408),,,,TRUE,成功於 2026-04-07 02:03 處理
,2026/4/4 下午 11:10:17,1200,艾斯恩魔女,,,緊身便衣(450313),,,,TRUE,成功於 2026-04-07 02:03 處理
PENG,2026/4/6 下午 11:59:47,1146,黑狐,,,鋼斧(620049),,,,TRUE,成功於 2026-04-07 02:03 處理
,2026/4/10 下午 6:11:40,1408,血蝴蝶,,,虎爪拳套(560054),,,,TRUE,成功於 2026-04-12 22:23 處理
,2026/4/12 下午 3:29:14,1149,米洛斯,"經驗值: ??? -> 1,130
職業經驗值: ??? -> 225",,,,,,TRUE,成功於 2026-04-12 22:23 處理
,2026/4/21 下午 3:08:39,1516,米糕,,,披肩(480378),,,,TRUE,成功於 2026-04-22 09:07 處理
,2026/4/21 下午 3:17:46,1516,米糕,,,雙刃短劍(510131),,,,TRUE,成功於 2026-04-22 09:07 處理
月夕紗,2026/4/21 下午 3:18:15,1516,米糕,,,披肩(480378),,,,TRUE,成功於 2026-04-22 09:07 處理
,2026/4/21 下午 3:32:35,1517,豹皮怪,,,長靴(470229),,,,TRUE,成功於 2026-04-22 09:07 處理
PENG,2026/4/22 上午 5:20:31,1516,米糕,,,(服飾)古代文官的頭具(歸屬)(401330),,,,TRUE,成功於 2026-04-22 09:07 處理
PENG,2026/4/22 上午 5:20:47,1586,群葉貓,,,(服飾)群葉貓帽子(歸屬)(401333),,,,TRUE,成功於 2026-04-22 09:07 處理
PENG,2026/4/22 上午 5:21:06,1587,克萊本,,,(服飾)波利採藥籃(歸屬)(480799),,,,TRUE,成功於 2026-04-22 09:07 處理
PENG,2026/4/22 上午 5:24:34,1512,妖君,,,(服飾)妖君帽(歸屬)(440045),,,,TRUE,成功於 2026-04-22 09:07 處理
,2026/4/22 下午 11:41:09,1584,塔嚕安,,,亞爾特劍(600049),,,,TRUE,成功於 2026-04-23 01:46 處理
水的旋律,2026/4/23 上午 7:16:06,1513,狐仙,"血量: 5,292 -> 204,254
100%命中: 371 -> 410","魚尾(1023), 蘆薈汁液(606)",天籟弓(18176),,,,TRUE,成功於 2026-04-23 11:40 處理
,2026/4/25 上午 2:10:24,1587,克萊本,"血量: 2,901 -> 178,522
物理防禦: 108 -> 162
魔法防禦: 20 -> 30",,,,,,TRUE,成功於 2026-04-25 16:08 處理
,2026/4/25 上午 2:11:23,1586,群葉貓,"血量: 2,635 -> 156,492
物理防禦: 88 -> 132
魔法防禦: 16 -> 24",,,,,,TRUE,成功於 2026-04-25 16:08 處理
,2026/4/25 下午 3:33:04,1584,塔嚕安,"血量: 3,195 -> 212,705
物理防禦: 63 -> 94
魔法防禦: 30 -> 45",,,,,,TRUE,成功於 2026-04-25 16:08 處理
,2026/4/25 下午 3:33:23,1587,克萊本,"血量: 2,901 -> 178,522
物理防禦: 108 -> 162
魔法防禦: 20 -> 30",,,,,,TRUE,成功於 2026-04-25 16:08 處理
,2026/4/25 下午 3:34:49,1586,群葉貓,"血量: 2,635 -> 156,492
物理防禦: 88 -> 132
魔法防禦: 16 -> 24",,貓眼(15813),,,,TRUE,成功於 2026-04-25 16:08 處理
,2026/4/25 下午 3:35:37,1512,妖君,"血量: 6,996 -> 235,517
物理防禦: 84 -> 109
魔法防禦: 43 -> 55",,,,,,TRUE,成功於 2026-04-25 16:08 處理
,2026/4/25 下午 3:36:09,1514,舞獅,"血量: 3,943 -> 143,105
物理防禦: 83 -> 107
魔法防禦: 36 -> 46",,,,,,TRUE,成功於 2026-04-25 16:08 處理
,2026/4/25 下午 3:36:30,1517,豹皮怪,"血量: 5,187 -> 151,404
物理防禦: 110 -> 148
魔法防禦: 37 -> 49",,,,,,TRUE,成功於 2026-04-25 16:08 處理
,2026/4/25 下午 3:36:47,1516,米糕,"血量: 5,335 -> 138,764
物理防禦: 112 -> 140
魔法防禦: 39 -> 48",,,,,,TRUE,成功於 2026-04-25 16:08 處理
,2026/4/25 下午 3:37:38,1513,狐仙,"物理防禦: 90 -> 117
魔法防禦: 56 -> 72",,,,,,TRUE,成功於 2026-04-25 16:08 處理
,2026/4/25 下午 3:37:56,1631,小青,"血量: 3,901 -> 143,105
物理防禦: 69 -> 89
魔法防禦: 15 -> 19",,,,,,TRUE,成功於 2026-04-25 16:08 處理
兩天,2026/4/25 下午 6:25:07,1586,群葉貓,,,"群葉貓的毛(1000387), 群葉貓的鬍鬚(1000388)",,,,TRUE,成功於 2026-04-29 09:24 處理
兩天,2026/4/25 下午 6:25:23,2781,菁英群葉貓,,,"群葉貓的毛(1000387), 群葉貓的鬍鬚(1000388)",,,,TRUE,成功於 2026-04-29 09:24 處理
兩天,2026/4/25 下午 6:26:05,1410,猴桃木,,,(服飾)猴子毛帽(歸屬)(401286),,,,TRUE,成功於 2026-04-29 09:24 處理
,2026/4/26 上午 4:35:04,1586,群葉貓,,,群葉貓的毛(1000387),,,,TRUE,成功於 2026-04-29 09:24 處理
,2026/4/26 上午 4:35:51,1586,群葉貓,,,群葉貓的鬍鬚(1000388),,,,TRUE,成功於 2026-04-29 09:24 處理
,2026/4/26 上午 4:36:35,1587,克萊本,,,古代魔法之杖(640018),,,,TRUE,成功於 2026-04-29 09:24 處理
PENG,2026/4/29 上午 4:04:13,1517,豹皮怪,,,(服飾)豹紋掛耳帽(歸屬)(401331),,,,TRUE,成功於 2026-04-29 09:24 處理
PENG,2026/4/29 上午 4:04:31,2862,狡猾舞獅,,,(服飾)金元寶波利帽(歸屬)(401337),,,,TRUE,成功於 2026-04-29 09:24 處理
PENG,2026/4/29 上午 4:05:24,1584,塔嚕安,,,(服飾)龍王的庇佑(歸屬)(401334),,,,TRUE,成功於 2026-04-29 09:24 處理
PENG,2026/4/29 上午 4:06:15,1056,狸貓,,,(服飾)變身樹葉(歸屬)(401332),,,,TRUE,成功於 2026-04-29 09:24 處理
PENG,2026/4/29 上午 4:06:49,1586,群葉貓,,,古代魔法之杖(640018),,,,TRUE,成功於 2026-04-29 09:24 處理
PENG,2026/4/29 上午 4:07:02,1586,群葉貓,,,圓柄馬刀(500112),,,,TRUE,成功於 2026-04-29 09:24 處理
,2026/4/29 上午 9:18:59,1516,米糕,"經驗值: ??? -> 104,487",,,,,,TRUE,成功於 2026-04-29 09:24 處理
PENG,2026/4/29 上午 10:18:04,1586,群葉貓,,古代魔法之杖(640018),,,,,TRUE,成功於 2026-04-29 12:57 處理
PENG,2026/4/29 上午 10:18:37,1514,舞獅,,,(服飾)金元寶波利帽(歸屬)(401337),,,,TRUE,成功於 2026-04-29 12:57 處理
PENG,2026/4/29 上午 10:18:47,2862,狡猾舞獅,,(服飾)金元寶波利帽(歸屬)(401337),,,,,TRUE,成功於 2026-04-29 12:57 處理
,2026/5/1 下午 9:33:13,1517,豹皮怪,,,荊棘鐵絲(26211),,,,TRUE,成功於 2026-05-04 15:22 處理
,2026/5/1 下午 9:46:53,1631,小青,,,賀勒拳套(560053),,,,TRUE,成功於 2026-05-04 15:22 處理
...,2026/5/1 下午 11:42:48,1314,果樹龜,"經驗值: ??? -> 86,738",,,,,,TRUE,成功於 2026-05-04 15:22 處理
,2026/5/3 上午 12:42:04,1268,血腥騎士,,"鐮戟(1417), 亞藍斯之劍(1170)",,,,,TRUE,成功於 2026-05-04 15:22 處理
